YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders
2026 Regular Session,HB0115,Election Law - Individuals Released From State Correctional Facilities - Automatic Restoration of Voter Registration,Requiring the Department of Public Safety and Correctional Services to transmit a list that includes the name and new residential address of individuals released from incarceration at a State correctional facility to the State Board of Elections on a weekly basis; requiring the State Board to automatically restore the voter registration of certain individuals released from State correctional facilities who were registered to vote in the State before being incarcerated; etc.,"This bill requires the Maryland Department of Public Safety and Correctional Services to electronically transmit a weekly list of individuals released from state correctional facilities to the State Board of Elections. The State Board of Elections must then automatically restore the voter registration of those individuals who were registered to vote in Maryland prior to their incarceration, updating their status to active at their new residential address.",True,2027.0,,,Maryland Department of Public Safety and Correctional Services and the State Board of Elections,Individuals released from Maryland State correctional facilities who were registered to vote in Maryland prior to being incarcerated
2026 Regular Session,HB0116,"Education - Agreements, Procurement Contracts, and Memoranda of Understanding - Reporting and Publication","Requiring the reporting of certain procurement contracts and memoranda of understanding entered into by certain public elementary and secondary education systems in the State; and requiring each local school system to make publicly available on the local school system's website certain in-kind services agreements, procurement contracts, and memoranda of understanding.","This bill requires Maryland's public elementary and secondary education entities, including the State Board of Education and local school systems, to report and publish their procurement contracts, memoranda of understanding, and in-kind services agreements. Starting in 2026, local school systems must make these agreements available on their websites, and the State Superintendent must compile an annual report of these contracts for specific committees of the General Assembly.",False,2026.0,,,State Superintendent of Schools and the Maryland State Department of Education,"Maryland public school systems, county boards of education, State Board of Education, and the general public"
2026 Regular Session,HB0117,Public Schools - Airway Clearing Device Availability and Use - Policy (Bowen Levy Airway Clearing Device Act),Requiring each county board of education to establish a policy to obtain at least one airway clearing device per school and to authorize school nurses and other school personnel to use an airway clearing device in certain emergency situations; and requiring the State Department of Education to develop and disseminate a form for public schools to report each incident requiring the use of an airway clearing device.,"Known as the Bowen Levy Airway Clearing Device Act, this bill requires each county board of education in Maryland to establish a policy for public schools to acquire at least one airway clearing device per school. These devices, which use manual suction to clear obstructions during choking emergencies, must be stored near eating areas. The bill also requires training for school nurses and personnel, establishes reporting protocols for device usage via the State Department of Education, and provides liability protection for staff who use the devices in good faith.",True,2026.0,,,Maryland State Department of Education and county boards of education,"Public school students, school nurses, and school personnel"
2026 Regular Session,HB0118,Maryland Money Transmission Act - Definition of Money Transmitter - Alteration,"Altering, for a certain licensing requirement, the definition of ""money transmitter"" under the Maryland Money Transmission Act to exclude a certain person designated as an agent of a payor for the purpose of the agent's provision of payroll processing services under certain circumstances.","This bill modifies the Maryland Money Transmission Act to exclude certain payroll processing agents from the definition of a 'money transmitter' and its associated licensing requirements. This exclusion applies if there is a written agreement between the payor and the agent, the payor identifies the agent to employees as its representative, and the payor remains legally responsible for payments even if the agent fails to remit the funds.",False,,,,Maryland Commissioner of Financial Regulation,"payroll processing services, employers (payors), and employees (payees)"
2026 Regular Session,HB0119,"Energy Performance Contracts - Navigators, Funding, and Requirements",Requiring a public body that enters into an energy performance contract to comply with certain provisions of law regarding energy performance contracts; requiring the Maryland Clean Energy Center to hire or contract with navigators to assist a public body in creating an energy performance contract; altering the Jane E. Lawton Conservation Loan Program and the Jane E. Lawton Conservation Fund to allow for the issuance of certain grants and loans to certain public bodies; etc.,"This bill requires public bodies to comply with specific standards when entering into energy performance contracts and mandates that the Maryland Clean Energy Center hire or contract with regional navigators to assist these entities. It also renames the Jane E. Lawton Conservation Loan Program to the Jane E. Lawton Conservation Grant and Loan Program, allowing the Maryland Energy Administration to provide grants to public bodies for energy efficiency projects. The bill mandates an annual $1,500,000 appropriation from the Strategic Energy Investment Fund to support the navigator program.",True,2026.0,,1500000.0,Maryland Clean Energy Center and Maryland Energy Administration,"Public bodies including State agencies, counties, municipal corporations, public institutions of higher education, local boards of education, and State or local hospitals."
2026 Regular Session,HB0120,Moratorium on Construction of New Data Centers - Co-Location and Generation Contingency,"Prohibiting a person from constructing a data center in the State; prohibiting a unit of State or local government from approving a proposal for the construction of a data center in the State; providing for the termination of the Act if the General Assembly enacts legislation regarding the co-location of data centers with a new or existing natural gas power generation facility, nuclear power generation facility, or small module reactor; applying the Act prospectively; etc.","This bill imposes a moratorium on the construction of new data centers in Maryland and prohibits state and local governments from approving such projects. The moratorium remains in effect until the General Assembly enacts legislation requiring new data centers to be co-located with specific power generation facilities, such as natural gas or nuclear plants, that meet the data center's power requirements. The bill applies prospectively and does not affect projects that have already obtained all necessary permits.",False,,,,Maryland state and local government units,"Data center developers, technology companies, and Maryland state and local government agencies"
2026 Regular Session,HB0121,Baltimore County - Alcoholic Beverages - Sale for Off-Premises Consumption,Providing that certain authorization for the holders of certain licenses to sell alcoholic beverages for off-premises consumption in a certain manner applies only if the Board of License Commissioners for Baltimore County has adopted certain regulations; authorizing the holders of certain licenses in Baltimore County that authorize the sale of alcoholic beverages at a restaurant or bar to sell certain alcoholic beverages for off-premises consumption under certain circumstances; etc.,"This bill authorizes the Board of License Commissioners for Baltimore County to adopt regulations allowing Class B and Class D license holders, such as restaurants and bars, to sell mixed drinks or cocktails for off-premises consumption. Such sales are subject to specific requirements, including being purchased with prepared food, verifying the purchaser is at least 21 years old, using specific sealed containers, and completing the sale before 11 p.m. The Board is prohibited from charging additional fees for this authorization but may limit the quantity of beverages sold per transaction.",False,2026.0,,,Board of License Commissioners for Baltimore County,Class B and Class D alcoholic beverage license holders (restaurants and bars) and consumers in Baltimore County
2026 Regular Session,HB0122,State Aid - Nonprofits - Status,"Prohibiting a unit of State government or other State entity that provides State aid from providing State aid to a nonprofit entity unless the nonprofit is current with certain obligations under federal, State, and local law.","This bill requires nonprofit organizations to be in good legal and tax standing before they can receive any state aid, grants, or subsidies from Maryland state agencies.",False,2026.0,,,Maryland state agencies and entities that provide state aid,Nonprofit organizations seeking or receiving state funding and state government units responsible for distributing aid.
2026 Regular Session,HB0123,School Systems - Reportable Offenses - Alterations,"Including institutions and programs of higher education in which a student is enrolled as part of a dual enrollment program in the definition of ""school system""; adding certain offenses to the list of offenses a law enforcement agency must report to certain school personnel under certain circumstances; and authorizing State's Attorneys to make a certain notification if a student is arrested for certain offenses.",This bill expands the definition of 'school system' to include institutions of higher education where students are enrolled in dual enrollment programs and adds several criminal offenses to the list of 'reportable offenses' that law enforcement must report to school officials. It also authorizes State's Attorneys to notify schools of a student's arrest if law enforcement fails to do so and updates annual reporting requirements to include data on students in dual enrollment programs.,False,2026.0,,,"Maryland State Department of Education, local school systems, and State law enforcement agencies","Maryland students aged 5 to 22, local school systems, institutions of higher education with dual enrollment programs, law enforcement agencies, and State's Attorneys"
2026 Regular Session,HB0124,Income Tax - Subtraction Modification - Losses From Theft or Fraud,"Allowing, subject to certain limitations, a subtraction modification under the Maryland income tax for certain personal casualty losses of certain retirement assets from theft or a fraud scheme; and applying the Act to taxable years beginning after December 31, 2025.","This bill allows Maryland taxpayers to claim an income tax subtraction modification for personal casualty losses, expenses, and penalties resulting from theft or fraud schemes involving assets in qualified retirement plans, provided they submit a police report and evidence of the loss.",False,2026.0,,,Comptroller of Maryland,Maryland taxpayers who have experienced theft or fraud related to their qualified retirement plan assets
2026 Regular Session,HB0125,Vehicle Laws – Historic Motor Vehicles – Minimum Age,"Requiring that a motor vehicle be at least 25 years old in order to be eligible for registration as a historic motor vehicle.
","This bill modifies the criteria for a motor vehicle to be eligible for historic registration in Maryland. It replaces the fixed model year requirement (1999 or earlier) with a requirement that the vehicle must be at least 25 years old. The bill applies to vehicles registered on or after July 1, 2026, and maintains current usage restrictions, which prohibit the use of historic vehicles for general daily transportation or commercial purposes.",False,,,,Maryland Motor Vehicle Administration,Maryland motor vehicle owners seeking historic vehicle registration
2026 Regular Session,HB0126,Regulated Firearms - Seven-Day Waiting Period - Exceptions,"Exempting a sale, rental, or transfer of a regulated firearm from the seven-day waiting period requirement if the purchaser, renter, or receiver of the firearm is a law enforcement officer, a retired law enforcement officer who retired in good standing, or an individual with a permit to wear, carry, or transport a handgun.","This bill creates exceptions to the mandatory seven-day waiting period for the sale, rental, or transfer of regulated firearms for active law enforcement officers, retired law enforcement officers who retired in good standing, and individuals who have been issued a permit to wear, carry, or transport a handgun.",False,,,,Secretary of State Police,"Active law enforcement officers, retired law enforcement officers, handgun permit holders, and licensed firearm dealers."
2026 Regular Session,HB0127,Baltimore County - Property Tax Credits - Public Safety Officers and Public School System Employees,"Requiring the governing body of Baltimore County to grant, by law, a  property tax credit against the county property tax imposed on certain dwellings owned by public safety officers or Baltimore County public school employees under certain circumstances.","This bill requires the governing body of Baltimore County to establish property tax credits for homes owned by public safety officers and employees of the Baltimore County public school system. The county is responsible for determining the specific amount, duration, and eligibility criteria for these credits.",False,2026.0,,,Governing body of Baltimore County,Public safety officers and Baltimore County public school system employees who own dwellings in Baltimore County.
2026 Regular Session,HB0128,County Boards of Education - Therapy Dogs - Policy for Handling and Use in Schools,"Requiring a county board of education to allow, subject to certain requirements and policies, the use of therapy dogs in public schools in the county.","This bill requires each county board of education in Maryland to allow the use of therapy dogs in public schools. It mandates that each board adopt a formal policy governing the use and handling of therapy dogs, which must include certification or registration requirements, guidelines for handlers, specific rules for when and where dogs are allowed in school buildings, notification procedures for the school community, and protocols for accommodating individuals with allergies or fears.",True,2026.0,,,County boards of education,"Public school students needing emotional support, parents, school faculty and staff, and therapy dog handlers"
2026 Regular Session,HB0129,Public Funding - Nonprofit Entities - Reporting,"Requiring a nonprofit entity that receives at least 50% of its funding each year from a grant from the State, a county, or a municipality, the State capital budget, or certain local impact grants to report certain information to the Comptroller; etc.","This bill requires nonprofit entities that receive 50% or more of their annual funding from state, county, or municipal sources to report their funding amounts and usage to the State Comptroller. The Comptroller is then responsible for summarizing these reports and submitting an annual summary to the General Assembly.",False,2026.0,,,Comptroller of Maryland,Nonprofit entities receiving 50% or more of their funding from government sources in Maryland
2026 Regular Session,HB0130,"Criminal Law - Deed Fraud - Prohibition, Deed Fraud Prevention Grant Fund, and Task Force to Study Deed Fraud","Prohibiting the intentional fraudulent sale, conveyance, or lease or attempted sale, conveyance, or lease of real property by a person who does not own the real property; prohibiting the acquisition, sale, or conveyance or the attempted acquisition, sale, or conveyance of real property by deception, intimidation, threat, or undue influence; establishing the Deed Fraud Prevention Grant Fund; and establishing the Task Force to Study Deed Fraud.","This bill defines and criminalizes deed fraud, specifically prohibiting the unauthorized sale, lease, or conveyance of real property and the use of counterfeit deeds. It establishes the Deed Fraud Prevention Grant Fund to support law enforcement, legal services for victims, and emergency housing for displaced individuals. Additionally, it creates a Task Force to Study Deed Fraud to analyze crime trends and develop recommendations for intergovernmental coordination and prevention.",True,2026.0,,200000.0,Maryland Department of Public Safety and Correctional Services,"Victims of deed fraud, real property owners, law enforcement agencies, and legal service providers"
2026 Regular Session,HB0131,Criminal Procedure - Expungement - Adverse Actions and Removal From Maryland Electronic Courts (MDEC) System,"Clarifying that refusal by a person to disclose information about criminal charges that have been expunged may not be the sole reason for a unit, an official, or an employee of the State or a political subdivision of the State to deny the person's application for a license, permit, registration, or governmental service; providing that refusal by a person to disclose information about criminal charges that have been expunged may not be the sole reason for an educational institution to expel or refuse to admit the person; etc.","This bill prohibits state agencies and educational institutions from denying licenses, services, or admission based on a person's refusal to disclose expunged criminal charges. It also mandates that the Maryland Electronic Courts (MDEC) system and Maryland Judiciary Case Search remove all references to criminal cases where cannabis possession was the only charge and was disposed of before July 1, 2023.",False,,,,Maryland Judiciary and the Department of Public Safety and Correctional Services,"Persons with expunged criminal records, applicants for State licenses or governmental services, students and applicants of educational institutions, and individuals with prior cannabis possession charges."
2026 Regular Session,HB0132,Wiretapping and Electronic Surveillance - Intercepted Communications - Admissibility of Evidence,Providing that the contents of a certain intercepted communication and evidence derived from the communication may be received in evidence in a certain criminal proceeding under certain circumstances.,"This bill modifies Maryland's rules of evidence to allow the contents of intercepted wire, oral, or electronic communications to be admitted in criminal trials and hearings under specific circumstances. For such evidence to be admissible, a court must determine that the case involves a crime against an individual, the evidence is material and highly probative, and its admission serves the interest of justice, provided the interception was not conducted by state law enforcement and proper notice is given to the adverse party.",False,,,,The Maryland District Court and Circuit Court,"Criminal defendants, crime victims, and legal practitioners within the Maryland judicial system"
2026 Regular Session,HB0133,Income Tax and Sales and Use Tax - Rate Reductions and Alterations,"Altering the State individual and corporate income tax rates; increasing, from 2% to 3%, the income tax rate imposed on the net capital gains attributable to certain sources of income; exempting from the income tax on net capital gains the first $10,000 in net capital gains of an individual who is at least 65 years old; reducing, from 6% to 3%, the sales and use tax rate; reducing, from 9% to 3%, the sales and use tax rate on alcohol and cannabis sales; repealing the sales and use tax on the sale of certain technology services; etc.","This bill significantly reduces Maryland's individual and corporate income tax rates to a flat 3% and lowers the general sales and use tax rate from 6% to 3%. It modifies the taxation of net capital gains, including a new 3% additional tax rate while providing a $10,000 exemption for individuals aged 65 and older, and repeals sales taxes on specific information technology services and custom computer software.",False,2026.0,,,Comptroller of Maryland,"Maryland individual and corporate taxpayers, consumers, seniors aged 65 and older, and the information technology and software services industry."
2026 Regular Session,HB0134,Family Law - Incapacitated or Protected Persons - Petition for Visitation,Establishing a rebuttable presumption relating to the best interest of an alleged incapacitated or protected person in an action under the Act; authorizing a certain person to petition a certain court for reasonable visitation with a certain alleged incapacitated or protected person; authorizing the court to impose certain restrictions on a certain visitation; establishing a certain immunity from civil liability under certain circumstances; etc.,"This bill establishes a legal framework allowing family members and interested parties to petition a court for visitation with an incapacitated or protected person. It creates a rebuttable presumption that visitation with close relatives is in the person's best interest, outlines the petition process, authorizes the court to impose visitation restrictions, and requires authorized decision-makers to provide information regarding the person's residence and funeral arrangements upon request.",False,2026.0,,,Maryland Judiciary,"Incapacitated or protected persons, their spouses, adult children, adult grandchildren, parents, adult siblings, court-appointed guardians, and authorized decision-makers."
2026 Regular Session,HB0135,Economic Development - Tax Increment Financing - Noncontiguous Areas,Authorizing the governing body of a political subdivision to designate certain noncontiguous blighted areas as development districts.,"This bill authorizes local governments in Maryland, including Baltimore City, to designate noncontiguous blighted areas as development districts for the purposes of tax increment financing. It defines a blighted area as one where buildings have significantly declined in productivity due to obsolescence or depreciation and allows these areas to be part of a development district even if they are not physically connected.",False,2026.0,,,Governing bodies of political subdivisions,"Local governments, real estate developers, and residents or property owners in blighted urban areas."
2026 Regular Session,HB0136,Maryland Public Ethics Law - Officials of the Legislative Branch - Gifts of Food and Beverages,Altering an exemption that allows an official of the Legislative Branch to accept a gift of food or beverages as part of a meal or reception to which a legislative unit is invited to instead allow an official of the Legislative Branch to accept a gift of food or beverages at a meal or reception to which all members of the General Assembly are invited and that was open to the public; altering the written invitation and registration report requirements a regulated lobbyist must meet under certain circumstances; etc.,"This bill modifies Maryland Public Ethics Law regarding gifts of food and beverages to legislative officials. It restricts the gift exemption for meals and receptions to only those events where every member of the General Assembly is invited and the event is open to the public. It also requires regulated lobbyists to register such events with the Department of Legislative Services 14 days in advance, rather than the previous 5 days, and mandates that the Department post the event details on the General Assembly website.",False,2026.0,,,Maryland State Ethics Commission and Department of Legislative Services,"Members of the Maryland General Assembly, regulated lobbyists, and the general public"
2026 Regular Session,HB0137,Family Law - Child Custody Evaluators - Qualifications,Establishing qualifications for an individual to be appointed by a court as a custody evaluator; and authorizing a court to waive certain requirements for a court employee or an individual under contract with the court under certain circumstances.,"This bill establishes specific professional and educational qualifications for individuals appointed by a court to serve as child custody evaluators. It requires evaluators to be licensed mental health professionals, such as psychiatrists, psychologists, or social workers, and mandates training in areas including domestic violence, child abuse, and family dynamics, while allowing for certain waivers for long-term court employees.",False,2026.0,,,Administrative Office of the Courts,"Children and families involved in contested custody or visitation cases, and licensed mental health professionals serving as court-appointed custody evaluators"
2026 Regular Session,HB0138,Criminal Law - Third-Degree Sexual Offense - Burglary,"Establishing that engaging in sexual contact with another without the consent of the other in connection with a first-, second-, or third- degree burglary constitutes sexual offense in the third degree; and altering the definitions of ""tier I sex offender"", ""tier II sex offender"", and ""tier III sex offender"" applicable to provisions relating to sex offender registration to include certain acts constituting sexual offense in the third degree.","This bill establishes that nonconsensual sexual contact committed during a first-, second-, or third-degree burglary is a third-degree sexual offense. It also updates the definitions of Tier I, Tier II, and Tier III sex offenders to include these offenses based on the age of the victim for the purpose of sex offender registration requirements.",False,2026.0,,,Maryland Department of Public Safety and Correctional Services,"Individuals convicted of sexual offenses in connection with burglary, victims of such crimes, law enforcement agencies, and the Maryland judicial system."
2026 Regular Session,HB0139,Sales and Use Tax - Tax-Free Day - Veterans' Day,"Establishing November 11 as a tax-free day each year during which an exemption from the sales and use tax is provided for sales to certain veterans if the taxable price of the item for sale is less than $2,000; authorizing the Comptroller, in the Comptroller's sole discretion, to suspend the tax-free day; and requiring an individual, in order to qualify for the exemption, to provide to the vendor evidence of eligibility for the exemption.","This bill establishes an annual sales and use tax-free day in Maryland on November 11 (Veterans' Day) for veterans. The exemption applies to items with a taxable price of less than $2,000, provided the individual presents evidence of veteran status, such as a notation on a driver's license. The Comptroller is authorized to suspend this tax-free day at their discretion.",False,2026.0,,,Comptroller of Maryland,Veterans in Maryland
2026 Regular Session,HB0140,County Boards of Education and Baltimore City Board of School Commissioners - Vacancy Procedures - Alterations,Requiring each county board of education and the Baltimore City Board of School Commissioners to hold an election for a vacant elected board member position that occurs 55 days or more before the candidate filing deadline for a certain election; requiring each county board and the Baltimore City Board of School Commissioners to appoint a replacement for a vacant elected board member position that occurs 54 days or less before a certain candidate filing deadline for a certain election; etc.,"House Bill 140 establishes uniform procedures for filling vacancies on Maryland county boards of education and the Baltimore City Board of School Commissioners. Vacancies for elected positions occurring 55 days or more before a term's second-year primary filing deadline must be filled by election at the next general election. Vacancies occurring after this deadline, or those without qualified candidates, must be filled by the remaining board members through a public process including advertising, resume reviews, and livestreamed interviews. Vacancies for appointed positions must be filled within 60 days using the board's existing appointment methods.",False,2026.0,,,Maryland county boards of education and the Baltimore City Board of School Commissioners,"Maryland voters, candidates for school board positions, and members of county boards of education and the Baltimore City Board of School Commissioners"
2026 Regular Session,HB0141,State Personnel - Collective Bargaining - Graduate Assistants,"Providing collective bargaining rights to certain graduate assistants  at a system institution, Morgan State University, or St. Mary's College of Maryland; defining ""graduate assistant"" as a graduate student at a system institution, Morgan State University, or St. Mary's College of Maryland who is a teaching, administrative, or research assistant or in a comparable position, a fellow, or a postdoctoral intern; and establishing a separate collective bargaining unit for the graduate assistants.","This bill grants collective bargaining rights to graduate assistants at certain Maryland public higher education institutions, including the University System of Maryland, Morgan State University, and St. Mary’s College of Maryland, and establishes a separate collective bargaining unit for them.",False,2026.0,,,Public Employee Relations Board,"Graduate assistants at the University System of Maryland, Morgan State University, and St. Mary’s College of Maryland"
2026 Regular Session,HB0142,Child Support - Earnings Withholdings Limits,Specifying that the amount of earnings withholding or a wage withholding order for child support may not exceed 25% of the obligor's disposable earnings under certain circumstances; requiring an earnings withholding order or earnings withholding notice sent to an obligor's employer to include information on certain limits on earnings withholding; and authorizing an employee to contest the amount of an earnings withholding order based on certain limits.,"This bill establishes a cap on child support earnings withholdings at 25% of an obligor's disposable earnings if the obligor's income is at or below 250% of the federal poverty guidelines, provided they were not found to be voluntarily impoverished. It further requires that withholding orders and notices include information regarding these limits and allows employees to contest withholdings that exceed these legal thresholds.",False,2026.0,,,Child Support Administration of the Department of Human Services,"Child support obligors with incomes at or below 250% of the federal poverty guidelines, child support recipients, and employers."
2026 Regular Session,HB0143,"Electric Company Contracts, Capacity Market Models, and Regional Transmission Organizations - Studies","Requiring the Public Service Commission and the Maryland Energy Administration jointly, in consultation with neighboring states, to study the benefits and costs of, and make recommendations on, potential options for certain actions with regard to withdrawing from the PJM Interconnection, LLC capacity market model, developing a certain multistate compact, withdrawing from PJM Interconnection, LLC, and establishing or joining an alternative regional transmission organization; etc.","This bill requires the Maryland Public Service Commission, in coordination with the Maryland Energy Administration, to conduct studies on electric capacity markets and regional transmission organizations. Specifically, it mandates an evaluation of the costs and benefits of requiring electric companies to secure long-term contracts for their energy capacity and examines the potential for Maryland to withdraw from the PJM Interconnection capacity market or the organization itself to join or create an alternative regional transmission entity.",False,,,,Maryland Public Service Commission and the Maryland Energy Administration,Maryland electricity ratepayers and electric utility companies
2026 Regular Session,HB0144,Commercial Law – Fair Pricing and Market Competition Fund – Establishment,"Establishing the Fair Pricing and Market Competition Fund as a special, nonlapsing fund to provide additional operating funds for the Antitrust Division of the Office of the Attorney General; requiring that certain civil penalties, damages, attorney's fees, and costs awarded to the State be credited to the Fund; and requiring, for fiscal years 2028 through 2033, that the Governor include in the annual budget bill a certain appropriation to the Fund.","This bill establishes the Fair Pricing and Market Competition Fund as a special, nonlapsing fund designed to provide additional resources for the Antitrust Division of the Office of the Attorney General. The fund will be supported by civil penalties and other awards from antitrust cases, and the bill specifically mandates funding for one full-time investigator position from fiscal year 2028 through 2033.",True,2026.0,,,Office of the Attorney General,"Maryland consumers and businesses, and the Antitrust Division of the Office of the Attorney General"
2026 Regular Session,HB0145,"Election Law - Election Misinformation, Election Disinformation, and Deepfakes","Requiring the State Administrator of Elections to take certain actions if the State Administrator receives a credible report that election misinformation or election disinformation, including a deepfake, has been or is being communicated, disseminated, or distributed; requiring the Administrator to communication correct information to the public; prohibiting a person, under certain circumstances, from knowingly or with reckless disregard using or disseminating a deepfake to produce materially false information; etc.","This bill requires the Maryland State Board of Elections to maintain a public portal for reporting election-related misinformation and disinformation. It mandates the State Administrator to disseminate accurate information to correct credible reports of falsehoods and authorizes the State Board to seek injunctions or file civil actions to recover costs associated with these corrections. Additionally, the bill prohibits the use of generative AI-created deepfakes intended to influence voters or misrepresent election processes, establishing criminal penalties for such actions.",True,2026.0,,,State Board of Elections and the State Administrator of Elections,"Maryland voters, candidates, political campaigns, political action committees, and media organizations"
2026 Regular Session,HB0146,Environment - On-Site Wastewater Systems - Requirements for Inspection and Pumping Services and Implementation Dates,"Requiring a landlord of property that is served by an on-site wastewater system to ensure, on or before July 1, 2028, and before each new tenant occupies the property thereafter, that the system has been inspected and pumped out in a certain manner; requiring a landlord or an owner of property to notify a certain delegated approval authority that an on-site sewage disposal system is failing and when the system is fixed, under certain circumstances; extending certain dates; etc.","This bill establishes requirements for the inspection and pumping of on-site wastewater systems, such as septic tanks, during property transfers and for rental properties. Landlords must ensure systems are inspected and pumped by July 1, 2028, and before new tenancies begin. Contracts for the sale of real property must include similar requirements starting in July 2028. Additionally, the bill extends the deadlines for the Department of the Environment to issue regulations and for wastewater professionals to become licensed.",False,2026.0,,,Maryland Department of the Environment,"Landlords, property owners, home buyers, tenants, and licensed on-site wastewater professionals"
2026 Regular Session,HB0147,Nonprofit Organizations Navigator - Termination Provision - Repeal,Repealing a termination provision relating to provisions of law establishing a nonprofit organizations navigator within the Department of Commerce.,"This bill makes the nonprofit organizations navigator position within the Department of Commerce permanent by repealing its scheduled termination date of June 30, 2027. The navigator provides technical assistance to nonprofit organizations for state grant applications, helps resolve procedural complexities in grant-making, and shares information on grant opportunities.",True,2025.0,,,Maryland Department of Commerce,Nonprofit organizations in Maryland
2026 Regular Session,HB0148,Consumer Protection and Labor and Employment - Surveillance-Based Price and Wage Setting - Prohibition,"Prohibiting a person from engaging in certain surveillance-based price setting; making a certain violation of the Act an unfair, abusive, or deceptive trade practice that is subject to enforcement and penalties under the Maryland Consumer Protection Act; and prohibiting an employer from engaging in certain surveillance-based wage setting.","This bill prohibits businesses and employers from using surveillance-based price and wage setting. It defines these practices as the use of automated decision systems and surveillance data—such as behavioral, biometric, or personal information—to offer customized prices to consumers or customized wages to employees. The bill establishes that violations of the price-setting prohibition are unfair or deceptive trade practices, and it empowers the Commissioner of Labor and Industry to investigate wage-setting violations. Exceptions are provided for legitimate cost-of-service price differences, uniform discounts, and performance-based or location-based wages with proper disclosure.",False,,,,Maryland Attorney General and the Commissioner of Labor and Industry,"Maryland consumers, employees, and employers"
2026 Regular Session,HB0149,"Fire Prevention - Assistant Fire Marshals, Residential Rental High-Rise Property Fire Safety Equipment, and Fire Alarm System Technicians","Authorizing a county or municipal corporation to designate certain fire marshals with the approval of the State Fire Marshal or to request that the State Fire Marshal designate certain fire marshals and requiring the State Fire Marshal to adopt certain regulations governing the qualifications, training, standards, and certification of designees; requiring installation of certain fire prevention in certain high-rise residential buildings; etc.","This bill modifies the designation process for Assistant State Fire Marshals, requiring the State Fire Marshal to establish specific training and certification regulations. It mandates that residential rental high-rise buildings undergoing substantial renovations starting October 1, 2026, must install automatic fire sprinklers and other specific life safety features such as smoke alarms, rated stairwells, and smokeproof exit enclosures. Furthermore, it directs the State Fire Prevention Commission to create a licensing and regulatory program for fire alarm system technicians and fire alarm system companies.",False,2026.0,,,State Fire Marshal and State Fire Prevention Commission,"Owners and residents of residential rental high-rise buildings, fire alarm system technicians and companies, and local fire marshals or fire officials."
2026 Regular Session,HB0150,Circuit Court Judges - Selection and Retention Elections,Proposing amendments to the Maryland Constitution relating to the selection and tenure of circuit court judges; altering the method of filling vacancies in the office of a judge of a circuit court; providing for retention elections following an appointment to fill a vacancy in the office of a judge of a circuit court; providing for a transitional period during which the terms of certain amendments are to become effective; and submitting this amendment to the qualified voters of the State for their adoption or rejection.,"This bill proposes a constitutional amendment to alter the selection and tenure of Maryland circuit court judges. It replaces the current system of contested elections with a process where the Governor appoints judges with the advice and consent of the Senate, followed by non-competitive retention elections every 10 years where voters decide whether a judge should remain in office.",False,,,,"The Governor of Maryland, the Maryland State Senate, and the Maryland State Board of Elections","Circuit court judges, judicial candidates, and Maryland voters"
2026 Regular Session,HB0151,Sales and Use Tax - Distribution of Cannabis Sales Tax Revenue - Maryland Veterans Trust Fund,Requiring 3% of the sales and use tax revenue collected from the sale of cannabis to be distributed to the Maryland Veterans Trust Fund.,"This bill requires that 3% of the sales and use tax revenue collected from cannabis sales be distributed to the Maryland Veterans Trust Fund. The fund is used to provide monetary and other assistance to veterans, members of the Maryland National Guard, and their families, as well as to supporting public and private programs.",False,2026.0,,,Comptroller of Maryland,"Maryland veterans, members of the Maryland National Guard, and their families"
2026 Regular Session,HB0152,Consumer Protection - Electronic Funds Transfers - Regulations (Elder Fraud Prevention Act of 2026),Providing that consumer wire transfers involving electronic funds transfers made ancillary to bank-to-bank transfers via a wire service are subject to certain provisions of the federal Electronic Funds Transfer Act of 1978.,"This bill, known as the Elder Fraud Prevention Act of 2026, requires consumer wire transfers involving electronic funds transfers made through bank-to-bank wire services to comply with the federal Electronic Funds Transfer Act of 1978. It applies to all financial institutions operating in Maryland and aims to enhance consumer protection standards for these transactions.",False,,,,Financial institutions operating in Maryland,Consumers using wire transfer services and financial institutions operating in Maryland
2026 Regular Session,HB0153,Residential Rental Apartments - Air-Conditioning Requirement,"Requiring a landlord to provide air-conditioning to residential rental units in apartment buildings with four or more individual dwelling units in a certain manner beginning June 1, 2026, for newly constructed residential rental units and beginning October 1, 2026, for residential rental units that undergo renovation that includes the replacement or substantial upgrade of electrical systems or heating systems; and applying the Act prospectively.","This bill requires landlords of residential apartment buildings with four or more units to provide air-conditioning to tenants. Starting June 1, 2026, for new constructions and October 1, 2026, for renovated units, landlords must maintain a temperature of no more than 80 degrees Fahrenheit from June 1 through September 30. The bill exempts historic properties and specific Baltimore City public housing developments.",False,2026.0,,,Landlords,Tenants and landlords of residential apartment buildings with four or more units in Maryland
