Agency Name,URL,Summary
Canal Place Preservation & Development Authority,https://passagesofthepotomac.org/,"The **Canal Place Preservation & Development Authority (CPPDA)** is an independent Maryland state agency established in 1993 to oversee the preservation, management, and economic development of the historic area surrounding the western terminus of the Chesapeake and Ohio (C&O) Canal in Cumberland. Serving as a catalyst for heritage tourism in Western Maryland, the Authority is responsible for managing the **Passages of the Western Potomac Heritage Area** (formerly the Canal Place Heritage Area), which includes facilities such as the Western Maryland Railway Station, the Shops at Canal Place, and the replica canal boat, *The Cumberland*. For Maryland residents, the CPPDA performs critical work in community revitalization by coordinating regional festivals and educational programs, fostering public-private partnerships to stimulate local commerce, and providing recreational and interpretive spaces that celebrate the state’s transportation history and cultural legacy."
Chesapeake Bay Trust,https://www.cbtrust.org/,"The **Chesapeake Bay Trust** is a unique, nonprofit grant-making organization established by the Maryland General Assembly in 1985 to serve as an ""instrumentality of the State."" While it operates with independent financial and policy-making status, its core mandate is to foster public participation in the restoration and protection of the Chesapeake Bay and its local tributaries. The Trust primarily functions as a funding engine, awarding approximately **$20 million to $30 million annually** in grants to schools, civic groups, and local nonprofits for on-the-ground restoration, environmental education, and community outreach. For Maryland residents, the agency translates individual contributions—such as those from the ""Protect the Chesapeake"" (Bay Plate) license plate and state income tax check-offs—into local impacts like tree plantings, stream cleanups, and outdoor field trips for students, while also administering programs like the Chesapeake Conservation and Climate Corps to prepare young adults for the green workforce."
Commission on Civil Rights,https://mccr.maryland.gov/,"The **Maryland Commission on Civil Rights (MCCR)** is an independent state agency dedicated to enforcing Maryland’s anti-discrimination laws and ensuring equal opportunity for all residents. Its primary responsibility is the investigation and administrative processing of formal complaints regarding discrimination in **employment, housing, and public accommodations**, as well as the state’s commercial non-discrimination policy. The agency enforces Title 20 of the State Government Article, which protects individuals from unfair treatment based on factors such as race, color, religion, sex, age, national origin, marital status, physical or mental disability, sexual orientation, and gender identity. For Maryland residents, the MCCR performs impartial investigations, conducts fact-finding conferences, and facilitates mediations to resolve disputes. Additionally, the commission provides education and outreach programs, training businesses and community organizations on diversity, equity, and fair practices to prevent discrimination before it occurs."
Government House Trust,https://msa.maryland.gov/msa/mdmanual/25ind/html/38govh.html,"The Maryland Government House Trust is a state agency responsible for the supervision and oversight of the seven public ""State rooms"" and the grounds of Government House, the official residence of the Governor in Annapolis. Its primary responsibilities include directing the renovation, design, and furnishing of these historic spaces—which include the State dining room, parlor, and reception rooms—to ensure they reflect Maryland’s cultural and historical heritage. The Trust performs essential conservation and restoration work on artwork and artifacts within the residence, manages the landscaping of the surrounding grounds, and has the authority to approve or reject any internal design changes. For Maryland residents, the agency’s work preserves the architectural and historical integrity of a significant public landmark, maintaining it as a functional venue for official state business and a legacy for future generations."
Governor's Council on the Chesapeake Bay,https://msa.maryland.gov/msa/mdmanual/26excom/html/07che.html,"The **Governor’s Council on the Chesapeake Bay**, commonly known as the **Chesapeake Bay Cabinet**, is a Maryland state agency responsible for advising the Governor on the management, protection, and restoration of the Chesapeake Bay. Established by Executive Order in 1985, the Council serves as a high-level coordinating body that integrates the efforts of various state departments—including Natural Resources, Environment, Agriculture, and Planning—to ensure a unified approach to Bay-related policies. Its primary responsibilities include promoting interagency cooperation, overseeing the implementation of state and regional restoration goals (such as the Chesapeake Bay Watershed Agreement), and coordinating fiscal and technical resources to improve water quality. For Maryland residents, the Council performs essential work by safeguarding the health of the state’s most vital natural resource, which in turn supports the multi-billion-dollar seafood and tourism industries, preserves recreational opportunities, and ensures cleaner water and healthier ecosystems for future generations."
Health Care Alternative Dispute Resolution Office,https://msa.maryland.gov/msa/mdmanual/25ind/html/42healcf.html,"The **Maryland Health Care Alternative Dispute Resolution Office (HCADRO)** is an executive agency responsible for managing the mandatory arbitration process for medical malpractice claims within the state. Primarily serving as a gatekeeper for the judicial system, the office requires that all medical injury claims seeking damages exceeding the District Court’s jurisdiction be filed with them before proceeding to trial. HCADRO facilitates a system where three-person arbitration panels—consisting of an attorney, a healthcare provider, and a public member—determine liability and assess damages, providing a more expedient alternative to traditional litigation. For Maryland residents, the agency offers an accessible and specialized venue for resolving healthcare disputes while maintaining a public record of malpractice complaints and significantly reducing the caseload burden on the state’s Circuit and U.S. District Courts."
Health Services Cost Review Commission,https://hscrc.maryland.gov/,"The **Maryland Health Services Cost Review Commission (HSCRC)** is an independent state agency responsible for regulating the cost and quality of services at all Maryland hospitals. Its primary responsibility is to manage the state’s unique ""all-payer"" rate-setting system, which ensures that every patient—regardless of whether they are covered by Medicare, Medicaid, private insurance, or are uninsured—is charged the same rate for the same service at a given hospital. Under a federal Medicare waiver, the HSCRC sets these hospital rates to control healthcare spending, promote financial stability for medical institutions, and eliminate ""cost-shifting"" between different types of payers. For Maryland residents, the agency’s work ensures more equitable access to care, lowers long-term healthcare costs by limiting spending growth, and incentivizes hospitals to improve patient outcomes and population health through rigorous quality-performance standards."
Historic St. Mary's City Commission,https://hsmcdigshistory.org/,"The **Historic St. Mary's City Commission** is an independent Maryland state agency within the Office of the Governor responsible for the preservation, management, and development of Historic St. Mary's City, the site of Maryland's first colonial capital. Its primary responsibilities include protecting the archaeological and historical record of the 17th-century settlement and overseeing an 850-acre outdoor museum and archaeological park. For Maryland residents, the Commission performs vital educational and cultural work by providing immersive heritage tourism and public programming, including living history exhibits like the *Maryland Dove* ship and the reconstructed State House of 1676. Additionally, the agency conducts extensive archaeological research and partners with St. Mary’s College of Maryland to offer academic opportunities, ensuring the site serves as a premier destination for education, recreation, and the study of Maryland’s early history."
Injured Workers' Insurance Fund,https://www.ceiwc.com/iwif-state-of-maryland/,"The **Injured Workers’ Insurance Fund (IWIF)**, which began operating as **Chesapeake Employers’ Insurance Company** in 2013, is Maryland’s largest writer of workers’ compensation insurance and serves as the state’s ""insurer of last resort."" Its primary responsibility is to provide a guaranteed market for workers' compensation insurance, ensuring that any Maryland business can obtain coverage regardless of its size or risk profile. For Maryland residents, the agency performs the vital role of managing and adjusting claims for state employees and private-sector workers insured through its policies. It is responsible for providing medically necessary treatment and wage replacement benefits to workers who suffer compensable workplace injuries or occupational diseases, with a core mission of helping residents receive high-quality care and return to productive employment safely."
Interagency Commission on School Construction,https://iac.mdschoolconstruction.org/,"The **Maryland Interagency Commission on School Construction (IAC)** is an independent state agency responsible for overseeing and funding the construction, renovation, and maintenance of public school facilities throughout Maryland. Its primary mission is to ensure that every student has access to a safe, healthy, and educationally sufficient learning environment. To achieve this, the IAC manages the State’s **Capital Improvement Program (CIP)**, allocating hundreds of millions of dollars in financial aid to local school systems for infrastructure projects. The agency’s work includes approving site plans for new schools, establishing cost-sharing agreements between state and local governments, and reviewing long-term educational facility master plans. For Maryland residents, the IAC promotes fiscal sustainability and equity, ensuring that public tax dollars are used efficiently to provide modern, high-quality schools that support both student achievement and community growth."
International Affairs,https://sos.maryland.gov/International/Pages/default.aspx,"The **Division of International Affairs**, part of the Maryland Office of the Secretary of State, serves as the state’s primary lead for global engagement and diplomacy. Its primary responsibilities include managing the **Maryland Sister States Program**, which facilitates economic, cultural, and educational exchanges between Marylanders and international partners, and overseeing the **Governor’s Subcabinet for International Affairs** to ensure a unified global strategy across state agencies. For Maryland residents, the agency performs vital ""citizen diplomacy"" by connecting local businesses, students, and community leaders with international counterparts, hosting networking events, and serving as a clearinghouse for information and global contacts to enhance Maryland’s competitiveness in the world market."
Interstate Agencies -- Maryland Memberships,https://msa.maryland.gov/msa/mdmanual/38inters/html/00list.html,"""Interstate Agencies — Maryland Memberships"" is a functional category of government entities described in the *Maryland Manual On-Line* that facilitates regional cooperation between Maryland and other states. These agencies, often established through interstate compacts approved by the U.S. Congress under Article I, Section 10 of the Constitution, enable the state to address shared challenges that transcend state borders. Their primary responsibilities include managing common natural resources (such as the Chesapeake Bay and Potomac River), coordinating regional transportation systems (like the Washington Metropolitan Area Transit Authority), and standardizing professional licensing and educational programs. For Maryland residents, these agencies perform vital work by streamlining administrative processes, protecting regional environmental health, and ensuring efficient public infrastructure and services that a single state could not effectively manage alone."
Maryland 529,https://maryland529.com/,"Maryland 529 is the Maryland state agency responsible for administering tax-advantaged savings programs designed to help residents save for future education and disability-related expenses. Its primary responsibilities include overseeing three major programs: the **Maryland College Investment Plan** (a market-based savings plan), the **Maryland Prepaid College Trust** (a contract-based plan to lock in tuition rates, currently closed to new enrollments), and **Maryland ABLE** (a savings plan for individuals with disabilities). For Maryland residents, the agency performs the vital work of managing these investment platforms, providing unique state income tax benefits for contributions, and facilitating matching grants through the **Save4College State Contribution Program**. Following legislative changes in 2023, administrative oversight of the agency and its operations was transferred to the **Maryland State Treasurer’s Office**."
Maryland African American Museum Corporation,https://www.lewismuseum.org/,"The **Maryland African American Museum Corporation** is an independent state agency and public instrumentality created by the General Assembly in 1998 to manage the **Reginald F. Lewis Museum of Maryland African American History and Culture**. The agency’s primary responsibility is to oversee the planning, development, and daily operations of the museum, which serves as the state’s leading institution for documenting and preserving the contributions of African American Marylanders. For Maryland residents, the agency provides essential educational and cultural services, including the curation of over 11,000 historical artifacts, the development of public programming, and the implementation of K-12 educational initiatives and teacher training. By interpreting 400 years of history through exhibitions, workshops, and community outreach, the agency works to ensure that the rich heritage and diverse narratives of the state's African American community are accessible and preserved for all citizens."
Maryland Agricultural & Resource-Based Industry Development Corp.,https://www.marbidco.org/,"The **Maryland Agricultural & Resource-Based Industry Development Corporation (MARBIDCO)** is a quasi-governmental state agency and financial intermediary dedicated to strengthening Maryland's agricultural, forestry, and seafood industries. Its primary responsibility is to bolster rural economies by providing qualifying farmers and rural business owners with access to affordable capital, low-interest loans, and grant programs that are often unavailable through traditional commercial lenders. MARBIDCO performs vital work for Maryland residents by helping young and beginning farmers acquire land, facilitating rural land preservation to prevent overdevelopment, and providing the financing necessary for businesses to purchase equipment, expand facilities, and diversify into emerging markets. By bridging the gap between public and private financing, the agency ensures the long-term sustainability of the state's local food supply, working landscapes, and resource-based heritage."
Maryland Automobile Insurance Fund,https://www.mymarylandauto.com/,"The **Maryland Automobile Insurance Fund (MAIF)**, now branded as **Maryland Auto Insurance**, is a quasi-governmental state agency created in 1972 to serve as the ""insurer of last resort"" for Maryland residents. Its primary responsibility is to provide mandatory automobile liability insurance to high-risk drivers who have been rejected by at least two private insurance companies due to factors such as poor credit or a history of serious traffic violations. In addition to underwriting policies for those ineligible for the private market, the agency manages a specialized fund to process and pay claims for Maryland residents involved in hit-and-run accidents or collisions with uninsured motorists. While it operates similarly to a private carrier and is regulated by the Maryland Insurance Commissioner, the agency receives no state general funds and is primarily supported by its own premiums and investment earnings."
Maryland Aviation Administration,https://www.marylandaviation.com/,"The **Maryland Aviation Administration (MAA)**, a unit of the Maryland Department of Transportation (MDOT), is the state agency responsible for fostering, developing, and regulating aviation activity throughout Maryland. Its primary responsibility is the ownership and operation of **Baltimore/Washington International (BWI) Thurgood Marshall Airport**—the state’s primary commercial air hub—and **Martin State Airport**, a major general aviation facility. Beyond managing these two airports, the MAA provides critical oversight for the state’s regional airport system by inspecting and licensing commercial airports, flight schools, and instructors to ensure safety and compliance with state regulations. For Maryland residents, the agency’s work facilitates safe and efficient air travel, provides technical and financial grants to local airports, and promotes economic growth through the expansion of domestic and international passenger and cargo opportunities. The MAA also supports the community through environmental stewardship initiatives and educational outreach, including pilot safety seminars and the publication of aeronautical charts and directories."
Maryland Cannabis Administration,https://mmcc.maryland.gov/,"The **Maryland Cannabis Administration (MCA)** is an independent state agency responsible for regulating the cultivation, manufacture, testing, and distribution of both medical and adult-use cannabis within the state. Established in 2023 as the successor to the Natalie M. LaPrade Medical Cannabis Commission, the MCA's primary responsibilities include issuing licenses to cannabis businesses, registering medical patients and caregivers, and enforcing strict compliance through routine inspections and safety audits. For Maryland residents, the agency performs critical work by ensuring product safety and quality through rigorous laboratory testing standards, providing educational resources on responsible use, and implementing social equity initiatives designed to foster an inclusive and diverse industry. Its overarching mission is to maintain a safe, transparent, and equitable marketplace while protecting public health and ensuring continued access for qualifying medical patients."
Maryland Center for School Safety,https://schoolsafety.maryland.gov/,"The **Maryland Center for School Safety (MCSS)** is an independent unit of state government—operating within the Maryland State Department of Education—dedicated to fostering safe and inclusive learning environments for all K-12 students. Established in 2013 and expanded by the *Maryland Safe to Learn Act of 2018*, the agency serves as a centralized hub for school safety coordination, providing grants, technical assistance, and comprehensive training to public, private, and non-public schools. Its primary responsibilities include administering the **Safe Schools Maryland** anonymous reporting system, operating a specialized training academy for School Resource Officers (SROs), and facilitating behavioral threat assessments and emergency preparedness exercises. For Maryland residents, the MCSS works to bridge the gap between students, parents, law enforcement, and mental health professionals to ensure that schools are equipped to prevent, mitigate, and respond to both physical security threats and the emotional well-being of the school community."
Maryland Clean Energy Center,https://mdcleanenergy.org/,"The **Maryland Clean Energy Center (MCEC)** is a corporate instrumentality of the state established in 2008 to accelerate the adoption of clean energy, support economic development, and create ""green"" jobs in Maryland. Its primary responsibilities include providing innovative financing solutions, facilitating the commercialization of climate technologies, and offering technical and procurement support for energy projects. For Maryland residents, the MCEC works to make sustainable technology more affordable and accessible by administering residential financing programs—such as the Clean Energy Advantage Loan for energy efficiency upgrades—and providing consumer education to help homeowners navigate the transition to renewable energy and lower their utility costs."
Maryland Economic Development Corp.,https://www.medco-corp.com/,"The **Maryland Economic Development Corporation (MEDCO)** is a quasi-public state agency established by the Maryland General Assembly in 1984 to serve as a specialized engine for statewide economic growth. Its primary responsibilities include fostering business retention and attraction, facilitating the creation of new enterprises, and modernizing the state’s economy through innovative financing and real estate solutions. For Maryland residents, MEDCO performs critical ""behind-the-scenes"" work by issuing revenue bonds to fund large-scale projects, developing student housing for the University System of Maryland, and managing industrial and community infrastructure that directly generates thousands of employment opportunities. By partnering with both public and private sectors to revitalize distressed properties and expand business facilities, the agency effectively drives local investment and stabilizes the state's tax base."
Maryland Energy Administration,https://energy.maryland.gov/Pages/default.aspx,"The **Maryland Energy Administration (MEA)** is a state agency dedicated to promoting clean, affordable, and reliable energy while reducing greenhouse gas emissions to benefit all Marylanders. Its primary responsibilities include managing the **Strategic Energy Investment Fund (SEIF)** and overseeing a diverse portfolio of grants, loans, and rebates aimed at maximizing energy efficiency and increasing renewable energy production. For Maryland residents, the MEA performs critical work by providing financial incentives for home improvements—such as solar panel installations, geothermal heating, and electric vehicle charging stations—as well as funding programs that lower monthly utility bills through energy-efficient upgrades. By advancing state energy policies and supporting grid modernization, the agency works to ensure a sustainable and resilient energy future for the state’s residential, commercial, and government sectors."
Maryland Environmental Service,https://www.menv.com/,"The **Maryland Environmental Service (MES)** is a unique, self-supporting state agency and not-for-profit public business unit established in 1970 to provide essential technical and operational services that protect and enhance the environment. Operating as a ""fee-for-service"" entity rather than through general tax funds, MES manages over 1,000 environmental projects across the region, with primary responsibilities including the operation of water and wastewater treatment plants, solid waste management, and large-scale recycling programs for materials like used oil and antifreeze. For Maryland residents, the agency performs critical work such as restoring the Chesapeake Bay through nutrient reduction, managing dredged material to maintain shipping channels (including restoration projects like Poplar Island), and providing environmental compliance and hazardous waste cleanup. By partnering with federal, state, and local governments as well as private entities, MES serves as an innovative problem-solver that maintains the state's environmental infrastructure and promotes public health."
Maryland Food Center Authority,https://www.mfca.info/,"The **Maryland Food Center Authority (MFCA)** is a public state agency and instrumentality of Maryland responsible for developing, managing, and maintaining the state’s primary wholesale food distribution infrastructure. Its primary responsibility is the operation of the **Maryland Food Center** in Jessup, a 400-acre hub that includes the Maryland Wholesale Produce Market and the Maryland Market Center (formerly the Seafood Market), as well as the Rock Hall Clam House. For Maryland residents, the MFCA performs the critical work of securing the state's food supply chain by providing high-quality, sanitary, and efficient facilities where wholesalers, retailers, and food processors can distribute fresh produce and seafood across the Mid-Atlantic region. By centralizing these operations and hosting on-site USDA inspectors, the agency ensures that residents have consistent access to a safe and diverse variety of food products while simultaneously fostering economic growth and supporting thousands of local jobs."
Maryland Health & Higher Educational Facilities Authority,https://www.mhhefa.org/,"The **Maryland Health and Higher Educational Facilities Authority (MHHEFA)** is a public instrumentality of the state that provides low-cost financing and refinancing for non-profit healthcare and educational institutions. Its primary responsibility is to act as a conduit issuer of tax-exempt bonds, notes, and other financial instruments, which allows hospitals, universities, colleges, and long-term care facilities to access capital markets at lower interest rates than they could on their own. For Maryland residents, the Authority's work directly supports the development, construction, and renovation of essential community infrastructure—such as hospital wings, academic buildings, and retirement communities—while helping these vital institutions reduce their capital costs and improve the affordability and quality of services provided to the public."
Maryland Health Benefit Exchange,https://marylandhbe.com/,"The Maryland Health Benefit Exchange (MHBE) is an independent unit of state government that administers **Maryland Health Connection**, the state’s official health insurance marketplace. Its primary responsibility is to provide Maryland residents and small businesses with a centralized platform to browse, compare, and enroll in high-quality, affordable private health and dental plans. The agency performs critical work by determining eligibility for financial assistance—including federal tax credits and cost-sharing reductions—and managing enrollment for public programs like Medicaid and the Maryland Children’s Health Program (MCHP). Through its online portal, mobile app, and a statewide network of trained navigators and brokers, MHBE ensures health equity and accessibility by helping individuals navigate their insurance options and maintain coverage through various life transitions."
Maryland Health Care Commission,https://mhcc.maryland.gov/,"The **Maryland Health Care Commission (MHCC)** is an independent regulatory agency responsible for planning Maryland’s health system needs and ensuring residents have access to affordable, high-quality care. Its primary responsibilities include developing the State Health Plan, regulating the distribution of healthcare facilities through the **Certificate of Need (CON)** program, and overseeing health information technology standards to promote the use of electronic health records and telehealth. For Maryland residents, the agency provides critical transparency by maintaining the **Maryland Quality Reporting** website, which offers public data on the performance, cost, and quality of services at hospitals, nursing homes, and outpatient centers, empowering consumers to make informed decisions about their healthcare."
Maryland Health Insurance Plan,https://www.marylandhealthconnection.gov/,"The **Maryland Health Insurance Plan (MHIP)** was a state agency established in 2002 to provide access to affordable health insurance for Maryland residents who were considered ""medically uninsurable"" or lacked access to other coverage. Functioning as the state’s high-risk pool, MHIP’s primary responsibility was to offer a safety net for individuals with pre-existing conditions before the implementation of the Affordable Care Act (ACA). Additionally, the agency administered the **Senior Prescription Drug Assistance Program (SPDAP)**, which provided financial subsidies to help low- and middle-income seniors pay for Medicare Part D premiums. 

With the ACA’s prohibition on denying coverage for pre-existing conditions, the need for a separate high-risk pool diminished. Consequently, the Maryland Health Insurance Plan was officially **repealed on July 1, 2016**, and its remaining liabilities and functions were transferred to the **Maryland Health Benefit Exchange**, which now manages the state's official marketplace, *Maryland Health Connection*. The SPDAP program was simultaneously transferred to the **Maryland Department of Health**."
Maryland Higher Education Commission,https://mhec.maryland.gov/,"The **Maryland Higher Education Commission (MHEC)** is the state’s regulatory and coordinating board responsible for establishing statewide policies and overseeing the growth of Maryland’s public and private colleges, universities, and for-profit career schools. Its primary responsibilities include administering over $100 million in annual financial aid through the **Office of Student Financial Assistance (OSFA)**, approving new academic programs to prevent unnecessary duplication, and maintaining quality standards for private career schools. For Maryland residents, MHEC serves as a vital resource by providing access to state grants and scholarships through the **MDCAPS** portal, protecting students via institutional oversight and grievance resolution, and facilitating the seamless transfer of credits between the state's community colleges and four-year institutions."
Maryland Institute for Emergency Medical Services Systems,https://www.miemss.org/,"The **Maryland Institute for Emergency Medical Services Systems (MIEMSS)** is the independent state agency responsible for overseeing and coordinating Maryland’s statewide emergency medical services (EMS) system. Its primary responsibilities include designating trauma and specialty centers (such as stroke and cardiac intervention facilities), licensing and certifying nearly 20,000 EMS clinicians, and regulating commercial ambulance services. For Maryland residents, MIEMSS ensures the delivery of high-quality, standardized emergency care by maintaining a statewide communication network for medevac and hospital consultations, developing evidence-based medical protocols, and providing resources to rural or understaffed jurisdictions. By managing the integration of field care, transportation, and hospital resources, the agency works to reduce preventable deaths and disabilities across the state."
Maryland Insurance Administration,https://insurance.maryland.gov/,"The Maryland Insurance Administration (MIA) is an independent state agency responsible for regulating Maryland’s multi-billion dollar insurance industry and protecting the interests of its residents. Its primary responsibilities include licensing insurance companies and professionals, monitoring the financial solvency of insurers to ensure they can pay future claims, and reviewing rate filings and policy forms for legal compliance. For Maryland residents, the MIA serves as a critical consumer protection advocate by investigating complaints regarding denied claims or unfair treatment, providing a 24/7 hotline for medical necessity appeals, and educating the public on their insurance rights and options. Through its regulatory oversight and enforcement actions, the agency works to maintain a fair, stable, and competitive insurance market across all lines, including health, life, automobile, and property insurance."
Maryland Longitudinal Data System,https://mldscenter.maryland.gov/,"The **Maryland Longitudinal Data System (MLDS) Center** is an independent state agency responsible for maintaining a central repository of linked student and workforce data to improve Maryland’s education and labor outcomes. Its primary responsibilities include collecting and organizing individual-level records from across the state—including PreK–12 education, higher education, and the Department of Labor—while ensuring strict data security and compliance with federal privacy laws like FERPA. For Maryland residents, the agency performs vital research and provides public-facing dashboards that track the effectiveness of educational programs, analyze the transition from school to the workforce, and reveal the long-term economic benefits of various career pathways. This data-driven approach helps policymakers, educators, and families make informed decisions about school performance, workforce development, and the overall success of the state's public education system."
Maryland National Guard,https://military.maryland.gov/ng/,"The Maryland National Guard is a state agency under the Maryland Military Department that operates with a dual mission to serve both the state and the federal government. Primarily directed by the Governor, the agency is responsible for protecting life and property, preserving public safety, and responding to domestic emergencies such as natural disasters, civil disturbances, and search-and-rescue operations. For Maryland residents, the Guard performs vital community-based work, including clearing debris after major storms, providing medical and logistical support during public health crises, and assisting local law enforcement during state-level emergencies. When federally activated by the President, the Guard also supports national security objectives and overseas combat missions, maintaining a high state of readiness through its Army and Air National Guard components."
Maryland Office of the Public Defender,https://www.opd.state.md.us/,"The **Maryland Office of the Public Defender (OPD)** is an independent state agency dedicated to providing high-quality legal representation to indigent Maryland residents facing the potential loss of liberty. Its primary responsibility is to ensure that individuals who cannot afford a private attorney receive effective counsel in criminal, juvenile delinquency, and traffic cases where incarceration is a possibility, as well as in involuntary commitment and parental rights proceedings. Operating through dozens of district offices and specialized divisions—including appellate, mental health, and post-conviction units—the agency handles the vast majority of criminal cases in the state. Its work spans the entire legal process, from initial custody and interrogation through trial, sentencing, and appeal, fulfilling a mission to protect civil rights and secure justice for all citizens regardless of their financial status."
Maryland Office of Tourism Development,https://www.visitmaryland.org/,"The **Maryland Office of Tourism Development (MOTD)** is an agency within the Maryland Department of Commerce (specifically the Division of Tourism, Film and the Arts) dedicated to stimulating the state's economy by promoting Maryland as a premier travel destination. Its primary responsibilities include managing the official **VisitMaryland.org** website, producing the *Destination Maryland* travel guide, and overseeing the state’s network of highway welcome centers. For Maryland residents, the agency’s work serves as a critical economic driver; by attracting domestic and international visitors, the MOTD supports over 130,000 tourism-related jobs and generates billions in state and local tax revenue—effectively reducing the annual tax burden for Maryland households by more than $1,000. Additionally, the office provides technical assistance and cooperative marketing grants to local jurisdictions and small businesses, helping to preserve the state’s cultural, historical, and natural assets for the continued enjoyment of all Marylanders."
Maryland Port Administration,https://mpa.maryland.gov/,"The **Maryland Port Administration (MPA)** is a state agency within the Maryland Department of Transportation responsible for managing and promoting the state's maritime facilities, most notably the **Helen Delich Bentley Port of Baltimore**. Its primary mission is to stimulate the flow of waterborne commerce to maximize economic benefits for the citizens of Maryland. Key responsibilities include maintaining the depth and safety of the 150-mile shipping channel through regular dredging, operating state-owned marine terminals, and implementing environmental stewardship initiatives—such as the **EcoPort program**—to protect the Chesapeake Bay and surrounding communities. For Maryland residents, the MPA serves as a critical economic engine, supporting over 15,000 direct jobs, generating billions in personal income, and providing significant tax revenue to fund essential public services while ensuring the state remains a competitive leader in international trade."
Maryland Public Broadcasting Commission,https://www.mpt.org/,"The Maryland Public Broadcasting Commission (MPBC) is a state agency that serves as the governing body and federal licensee for **Maryland Public Television (MPT)**, the state's only statewide broadcaster. Its primary responsibility is to operate and maintain a network of six digital transmitters that deliver educational, cultural, and informational programming to residents across Maryland and surrounding regions. The Commission oversees the creation of local and national content—including award-winning documentaries and series like *Outdoors Maryland*—while also supporting public education by providing curated classroom resources through platforms like Thinkport.org. By blending its role as a PBS member station with a mission to highlight Maryland’s unique history and culture, the MPBC provides essential public service media that fosters civic engagement and lifelong learning for all Marylanders."
Maryland School for the Deaf,https://www.msd.edu/,"The **Maryland School for the Deaf (MSD)** is an independent state agency governed by a Board of Trustees that provides comprehensive, tuition-free public education and specialized services to deaf and hard-of-hearing Maryland residents from birth through age 21. Operating two campuses in **Frederick** and **Columbia**, the agency implements a bilingual education approach, ensuring students have full access to both American Sign Language (ASL) and English across all academic and extracurricular programs. MSD’s primary responsibilities include delivering a curriculum that meets Maryland state standards, offering early intervention for infants and toddlers, and providing residential programs, vocational training, and various support services such as audiology and speech therapy. By maintaining a barrier-free, language-rich environment, the agency works to empower students to achieve academic excellence and successful transitions into adulthood and the workforce."
Maryland Stadium Authority,https://www.mdstad.com/,"The **Maryland Stadium Authority (MSA)** is a state-level public corporation established in 1986 to plan, finance, build, and manage world-class sports and entertainment facilities in Maryland. While its original mission was focused on retaining Major League Baseball and returning the NFL to Baltimore—resulting in the iconic Camden Yards Sports Complex—its responsibilities have significantly expanded to serve broader public interests. Today, the MSA oversees a diverse portfolio that includes the management of convention centers in Baltimore and Ocean City, as well as the ""Built to Learn"" and ""21st Century School Buildings"" programs, which finance and modernize public schools across the state. For Maryland residents, the agency acts as a critical engine for economic development and community revitalization, performing essential project management and financing work that improves educational infrastructure, stimulates tourism, and fosters civic pride through the development of museums, theaters, and university facilities."
Maryland State Archives,https://www.msa.maryland.gov/,"The Maryland State Archives serves as the central depository for government records of permanent value and is the historical agency for the State of Maryland. Its primary responsibilities include appraising, acquiring, and preserving a vast collection of records dating from the colony's founding in 1634 to the present, encompassing executive, legislative, and judicial documents, as well as land, probate, and vital records. For Maryland residents, the agency performs essential services by providing public access to historical and legal documents through its online platforms—such as the *Archives of Maryland Online* and the *Maryland Manual On-Line*—and offering research assistance, record copying services, and educational programs. Additionally, the Archives manages the state's artistic property and oversees the Land Office, ensuring that both the administrative history and cultural heritage of Maryland remain accessible and preserved for the public."
Maryland State Board of Contract Appeals,https://msbca.maryland.gov/,"The **Maryland State Board of Contract Appeals (MSBCA)** is an independent, quasi-judicial state agency responsible for adjudicating disputes involving the formation and execution of Maryland state government contracts. Its primary responsibilities include resolving bid protests—such as disagreements over bidder qualifications or the fairness of the selection process—and presiding over contract claims related to performance, compensation, and terminations. By providing a specialized and timely forum for legal resolution outside of the traditional court system, the Board ensures that state procurement is handled with transparency and accountability. For Maryland residents, the MSBCA’s work safeguards the integrity of public spending, ensuring that tax dollars are used efficiently and that the state remains a fair and reliable partner for businesses."
Maryland State Board of Elections,https://elections.maryland.gov/,"The **Maryland State Board of Elections (SBE)** is the independent executive agency responsible for managing and supervising elections across Maryland to ensure they are conducted in a free, secure, and transparent manner. Its primary responsibilities include maintaining the statewide voter registration database, certifying ballots, and overseeing the administration of the Fair Election Practices Act to regulate campaign finance. For Maryland residents, the SBE provides essential services such as managing voter registration, providing accessible polling locations for early voting and Election Day, and serving as a public depository for election records and campaign financial reports. By collaborating with local county boards, the SBE ensures uniform compliance with state and federal laws, protecting the integrity of the electoral process for all eligible citizens."
Maryland State Library,https://msla.maryland.gov/,"The **Maryland State Library Agency (MSLA)** is an independent state agency that provides strategic leadership, funding, and support to Maryland's 24 public library systems. Its primary responsibilities include administering state and federal grants—such as the Library Services and Technology Act (LSTA) funds—and managing the Public Library Capital Grants Program for facility improvements. For Maryland residents, the agency ensures equitable access to information and technology by overseeing specialized services like the **Maryland State Library for the Blind and Print Disabled** and the **Maryland Deaf Culture Digital Library**. Additionally, MSLA coordinates the Maryland State Library Network to facilitate statewide resource sharing and manages professional development and certification for library staff, ensuring that all citizens have access to high-quality educational resources, digital literacy programs, and workforce development tools."
